Gambia,213311,210897,109975,196160,148057,297058,450479,303721,429429,523991,473874,447124,447032,446959,446954,447057,447415,447989,448547,449003,449211,449173
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,1,6,24,59,155,257,316,474,438,245
Ghana,5396652,5313608,5242734,5314525,5991625,6953304,7999986,8867522,9540098,9977648,9973490,9571242,8947844,8170400,7556676,7330580,7350612,7590600,7895135,8148113,8428599,8477878
Guatemala,1493,1241,2428,3541,4832,5857,6482,5764,7282,6262,7968,9468,8285,8421,17992,36610,46748,34124,36810,42213,42680,63676
Guinea,4477687,4416575,4425904,4508348,4377224,4297908,4402690,4460552,4568741,4696591,4565610,4320306,4003420,3612353,3297950,3153121,3143778,3277416,3457916,3556986,3641386,3616058
Guinea-Bissau,216542,189707,146986,125653,122291,139154,161401,186564,208894,213019,212103,198836,166267,134274,112956,111165,131429,166563,240938,323277,410118,496631
Guyana,25792,22159,26307,30769,25167,19317,18030,22310,57459,43572,38863,29631,17877,16365,15697,27629,54583,40416,38681,30656,37974,33628
Haiti,22546,40876,17703,16000,33122,36279,32185,33119,62551,65545,81483,84993,84023,89554,73292,81199,78681,77382,76093,74792,73498,72190
Honduras,2290,1098,444,933,1716,5519,4792,4553,7231,8680,10269,13308,12900,11741,14962,17218,23468,25353,20706,25251,35405,51498
India,4265027,4133982,5549896,6743582,9333319,12411360,11856993,11138430,10943831,14056674,17298372,20241628,20663404,20063261,19163338,19820336,24222815,22459649,20204783,18873095,20074161,19692324
Indonesia,811636,769298,774340,662497,744237,1087349,1039394,1163077,1529542,1797022,1811566,1991459,1284831,1268598,1252185,1385963,1187260,1087185,1189388,1173580,1157570,1141362
Iran (Islamic Republic of),0,0,0,0,57,81,167,358,480,756,1632,1847,4345,8349,15712,15909,18966,13821,23562,15558,19303,19716
Iraq,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,24,47,155,347,952,1265,1860
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,3419698,3302189,3037541,3068062,3155636,3191546,3319230,3312249,3232499,3052340,2844501,2696154,2593628,2652387,3076957,3900370,5018999,6304649,7177403,7444032,7808825,6837558
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,3,1,18,96,318,225,91,461,2725,15,7
Lao People's Democratic Republic,6403,5674,10541,15654,14609,26862,62489,87770,68570,79939,30366,43766,47466,41446,45688,48965,35002,40333,45710,50404,62084,89755
